stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
252,1313,"W. Kingston Rd at Kingston Middle School",,47.794952,-122.524981,,,,,,0
253,1314,"W. Kingston Rd across from Kingston Middle School",,47.794832,-122.524671,,,,,,0
254,1315,"W. Kingston Rd at Siyaya Ave",,47.794967,-122.517585,,,,,,0
255,1316,"W. Kingston Rd at Siyaya Ave",,47.794819,-122.517353,,,,,,0
256,1317,"Olympic College - Bremerton",,47.575908,-122.634579,,,,,,0
257,1318,"Randall Way at Plaza Rd",,47.656189,-122.695661,,,,,,0
258,132,"Magnuson at Schley",,47.583845,-122.618011,,,,,,0
259,1321,"Southworth Ferry Lot",,47.511686,-122.497508,,,,,,0
260,1322,"Oyster Bay at Bay Vista",,47.564227,-122.673036,,,,,,0
261,1323,"Pier 50 Seattle Ferry Dock",,47.601183,-122.338923,,,,,,0
262,1324,"Wheaton Way Transit Center (WWTC)",,47.600608,-122.629975,,,,,,0
263,133,"Magnuson at Fir",,47.583806,-122.616617,,,,,,0
264,1331,"Randall at Silverdale Way",,47.661226,-122.685975,,,,,,0
265,1332,"Myhre at All Star Lanes",,47.659514,-122.684396,,,,,,0
266,1333,"Myhre at Lowe's",,47.659370,-122.679523,,,,,,0
267,1334,"Myhre at St. Michael Medical Center",,47.656070,-122.677050,,,,,,0
268,1335,"Myhre at Ridgetop",,47.652802,-122.677073,,,,,,0
269,134,"Magnuson at Perry",,47.583687,-122.613927,,,,,,0
270,1340,"Wheaton Way Transit Center (WWTC)",,47.600636,-122.629476,,,,,,0
271,1344,"Randall Way at Kitsap Mall Blvd.",,47.660721,-122.690486,,,,,,0
272,1345,"Viking Way at 16400",,47.711223,-122.659921,,,,,,0
273,1346,"Viking Ave at 16459",,47.711565,-122.660080,,,,,,0
274,1348,"Ridgetop at St. Michael Medical Center",,47.654386,-122.674961,,,,,,0
275,1349,"Ridgetop St. Michael Medical Center",,47.654112,-122.675849,,,,,,0
276,1350,"Hwy 104 at Lindvog",,47.803068,-122.504253,,,,,,0
277,1351,"Southworth at Locker",,47.525499,-122.547983,,,,,,0
278,1352,"Southworth at Cambridge",,47.520552,-122.519066,,,,,,0
279,1353,"Southworth at Cambridge",,47.520881,-122.519385,,,,,,0
280,1354,"Southworth at Locker",,47.525633,-122.548127,,,,,,0
281,1355,"Annapolis Park & Ride",,47.547528,-122.616234,,,,,,0
282,1357,"Hostmark at 8th",,47.733518,-122.640331,,,,,,0
283,1358,"Lebo Blvd at Clare",,47.581856,-122.629798,,,,,,0
284,1359,"Hemlock at Clare",,47.582905,-122.628014,,,,,,0
285,1360,"Hemlock at Callahan Dr",,47.583890,-122.627697,,,,,,0
286,1361,"Callahan at Hemlock",,47.586043,-122.627697,,,,,,0
287,1362,"Dauntless at Advance Dr.",,47.764704,-122.655386,,,,,,0
288,1363,"Kitsap Mall Blvd at Randall Way",,47.659304,-122.693168,,,,,,0
289,1364,"Chase at Lori Linda Ct",,47.518035,-122.617972,,,,,,0
290,1365,"Berger at Del Tormey",,47.515700,-122.616533,,,,,,0
291,1366,"Branson at Salmonberry",,47.512233,-122.615383,,,,,,0
292,1367,"Salmonberry at Eastwood Ave",,47.512050,-122.612917,,,,,,0
293,1368,"Salmonberry at Jackson",,47.512024,-122.610505,,,,,,0
294,1369,"Jackson at Azalea Ave",,47.515816,-122.609782,,,,,,0
295,137,"Perry Ave past Parker Pl",,47.579410,-122.613830,,,,,,0
296,1370,"Tremont at Rylander Ct",,47.525384,-122.648920,,,,,,0
297,1371,"Hwy 104 at Miller Bay",,47.809460,-122.540609,,,,,,0
298,1372,"Hwy 104 at Hansville Rd",,47.809620,-122.542541,,,,,,0
299,1373,"W. Kingston Rd at Bannister",,47.798362,-122.498916,,,,,,0
